player_id,avg_rating,rating_band,n_games,ZScoreBaseline_score,ZScoreBaseline_label,LOF_score,LOF_label,IsolationForest_score,IsolationForest_label,OneClassSVM_score,OneClassSVM_label,Autoencoder_score,Autoencoder_label,HDBSCAN_score,HDBSCAN_label,ACPLSubAutoencoder_score,ACPLSubAutoencoder_label,anomaly_votes,ensemble_flag,ensemble_confident
mete07,1601.0,1600-1800,12,3.164649649768481,1,-0.11590642380077676,1,-0.11093472224662154,1,-1.1843437009772106,1,3.2864783,-1,1.0,1,0.25525448,1,1,False,False
kamiyar74750808,1730.2222222222222,1600-1800,9,2.729816486959491,1,0.03348669779769886,-1,-0.10591256974083813,1,-2.4991663491279326,1,2.4294283,-1,1.0,1,0.07452133,1,2,False,False
Carbov,2050.134328358209,2000-2200,67,2.6656580852440985,1,-0.24885808922561425,1,-0.12411880155643701,1,-4.96619953741699,1,0.1023759,1,1.0,1,0.12166446,1,0,False,False
Moonpig,1666.9375,1600-1800,16,2.695922553786787,1,-0.28557521547420706,1,-0.13317406768654322,1,-2.6059053278394497,1,2.2548997,-1,1.0,1,0.014445215,1,1,False,False
jackhabeeeb,1817.2333333333333,1800-2000,30,2.468712434053034,1,-0.26146676951921366,1,-0.10596767025937398,1,-1.215667384384174,1,1.6127678,-1,1.0,1,0.21315397,1,1,False,False
KasparovRS,1889.6923076923076,1800-2000,26,1.2332464269428975,1,-0.21929270627543263,1,-0.174587642667553,1,-5.1270414211652335,1,0.41746953,1,0.38680093335640076,1,0.074425474,1,0,False,False
Newgenerationwin,1712.9,1600-1800,30,1.6201028256580996,1,-0.25444285086629526,1,-0.12299632943497785,1,-3.9938347978567252,1,0.28174838,1,1.0,1,0.49194145,1,0,False,False
gLaly,2038.9285714285713,2000-2200,14,2.468712434053034,1,-0.2584633729060082,1,-0.13614168164727342,1,-3.106840884949981,1,1.019262,1,1.0,1,0.08614725,1,0,False,False
kikin596401,2002.3,2000-2200,10,2.6036573668562153,1,-0.2161591000955818,1,-0.1055361345763729,1,-3.3932249175335114,1,0.4826527,1,1.0,1,0.104884095,1,0,False,False
WilkBardzoZly,2041.111111111111,2000-2200,9,1.5837916807147332,1,-0.17916060765100128,1,-0.12628306531353334,1,-3.6603567411179077,1,0.7102025,1,1.0,1,0.13134973,1,0,False,False
josejorgemontaldo,1562.6521739130435,1400-1600,23,1.237840797375565,1,-0.2175709304352771,1,-0.16331028224275868,1,-6.1956797386522515,1,0.15321283,1,0.8329802416349609,1,0.00169534,1,0,False,False
dulce31,1595.4,1400-1600,10,2.8891739432437276,1,-0.21079198268241006,1,-0.07274649539947231,1,-2.812374736271999,1,0.28024405,1,1.0,1,0.010565628,1,0,False,False
roman484,1932.3535353535353,1800-2000,99,3.1529393043481937,1,0.01753836374048534,-1,-0.10091538712107884,1,-1.886336682478066,1,1.1262833,1,1.0,1,0.061656136,1,1,False,False
lukes987,1722.4,1600-1800,15,1.7994105077935867,1,-0.22405326668986492,1,-0.15188967630715833,1,-5.360744457691788,1,0.107187055,1,1.0,1,0.01646897,1,0,False,False
zemheri,1968.9505494505495,1800-2000,182,0.9964105296308797,1,-0.21026479692651767,1,-0.16953097709561843,1,-4.982237791617604,1,0.21126175,1,0.302876922465558,1,0.24397509,1,0,False,False
Subcontrary,1668.1052631578948,1600-1800,19,1.5729808885998853,1,-0.16150100284176427,1,-0.14206579119165336,1,-4.389191488048609,1,0.58136004,1,0.9,1,0.02135955,1,0,False,False
oaktrees,1431.75,1400-1600,8,3.166672201336066,1,-0.13677235022269318,1,-0.017227575313651156,1,-0.3440302820381209,1,1.0988234,1,1.0,1,0.19861618,1,0,False,False
Vladimir-1,1798.3804347826087,1600-1800,92,0.9060228883076279,1,-0.2880220929513202,1,-0.1733183606042663,1,-4.487622658312229,1,0.22395098,1,0.6569660943472422,1,0.0044336775,1,0,False,False
ehsanamini,1721.3148148148148,1600-1800,54,2.047465110604358,1,-0.12376545122230365,1,-0.11390763584642172,1,-3.42021096581366,1,0.52178353,1,1.0,1,0.11046017,1,0,False,False
Blackavar,2017.3846153846155,2000-2200,13,2.0748850186963397,1,-0.12722906870554884,1,-0.09541329680171823,1,-4.2194064668969125,1,0.9603796,1,1.0,1,0.19121741,1,0,False,False
Gaserov,1835.1555555555556,1800-2000,45,2.0397758434556357,1,-0.23969155342347181,1,-0.12593954831240078,1,-3.1530500544001194,1,0.14675908,1,0.9188538378942412,1,0.11585832,1,0,False,False
HomesteadPost,1525.5833333333333,1400-1600,12,2.348135394041314,1,-0.22378713533298478,1,-0.08164517591189968,1,-5.07987021186874,1,0.26545087,1,1.0,1,0.10347292,1,0,False,False
Arlequinescacs,1964.371794871795,1800-2000,156,1.5905321717932768,1,-0.26846252814442484,1,-0.153996604236869,1,-5.341196285666464,1,0.19981146,1,1.0,1,0.06426016,1,0,False,False
CursedSanity,1810.5714285714287,1800-2000,7,1.8557059055523233,1,-0.11867980391979938,1,-0.10986368000399782,1,-3.4917884570757662,1,0.92912227,1,1.0,1,0.055362485,1,0,False,False
JustinZ,1700.71875,1600-1800,32,1.1964257014591684,1,-0.22990973830796535,1,-0.14269075660256664,1,-7.16158727043245,1,0.20011361,1,0.9,1,0.43155554,1,0,False,False
serag70,1897.0,1800-2000,6,9.662999110096237,-1,-0.21784608007587636,1,-0.02951613732209757,1,-0.5210752596118917,1,1.3961339,1,1.0,1,0.010877388,1,0,False,False
zarra1980,1977.6,1800-2000,5,2.1902468212337687,1,-0.2575608574413786,1,-0.10008030364604481,1,-4.929693342713709,1,1.3557771,1,1.0,1,0.10125492,1,0,False,False
welesson,1479.1,1400-1600,40,1.6098874601870743,1,-0.15057839197756273,1,-0.1560706462696561,1,-3.9079111951478636,1,0.40424392,1,0.7477554568062377,1,0.06869283,1,0,False,False
comm74ru,1594.896551724138,1400-1600,29,2.303293407889642,1,-0.2792006357611876,1,-0.1354497816902166,1,-4.142399285742159,1,0.2202075,1,1.0,1,0.035774365,1,0,False,False
trapchess,1749.9642857142858,1600-1800,56,1.8932409211946672,1,-0.21380805350630516,1,-0.13034593080264573,1,-4.328042846599808,1,0.54972434,1,1.0,1,0.016735991,1,0,False,False
VJS,2055.448484848485,2000-2200,165,1.0001911213143395,1,-0.1567491067578788,1,-0.16452521378678203,1,-5.368400306445291,1,0.15025379,1,0.5455298681892341,1,0.036029294,1,0,False,False
Jcbocho,1672.6470588235295,1600-1800,85,0.9781297155165232,1,-0.20108899772715993,1,-0.16749380003055003,1,-6.943654349529393,1,0.54989374,1,0.5821396530499712,1,0.11597788,1,0,False,False
younggandhi,2080.478260869565,2000-2200,23,1.1704081357473912,1,-0.16173685377942926,1,-0.16241921029554435,1,-3.618721960008748,1,0.6292253,1,0.8253213249484315,1,0.09938231,1,0,False,False
kaka2354,2248.56,2200+,25,1.8972381865470394,1,-0.2182756086241393,1,-0.1485717893708306,1,-3.5178011777868248,1,0.8550469,1,1.0,1,0.11067423,1,0,False,False
Michal58,1883.0,1800-2000,7,1.6497725536203656,1,-0.26976647911239904,1,-0.12243011305871271,1,-1.947929226262616,1,0.8133084,1,1.0,1,0.15697499,1,0,False,False
citizenhabar,1697.25,1600-1800,40,1.4045029945126501,1,-0.26803412132506654,1,-0.14803579640091524,1,-3.8007908781315445,1,0.20116122,1,0.8319416778016948,1,0.14342816,1,0,False,False
amir_signal,1559.4307692307693,1400-1600,65,1.3300855730589802,1,-0.2323094616337804,1,-0.15793844452325895,1,-5.272623454746449,1,0.5112449,1,0.9179152715816039,1,0.05522132,1,0,False,False
Kheractis,1710.96,1600-1800,25,2.695922553786787,1,-0.26438633741794715,1,-0.1319372936962232,1,-3.187898501615284,1,2.6111634,-1,1.0,1,0.06731735,1,1,False,False
mossdebs,2159.9444444444443,2000-2200,18,1.3253547199663567,1,-0.28526878265869327,1,-0.13960715556374942,1,-2.3980817727338612,1,0.1071355,1,0.8362671969835519,1,0.030788302,1,0,False,False
uburoijacques,1791.4285714285713,1600-1800,21,2.2343056581543195,1,-0.05126563159824338,1,-0.10139368383493652,1,-1.835291078984361,1,1.2848787,1,1.0,1,0.39535803,1,0,False,False
Haxtor,1734.0625,1600-1800,16,1.2978059640451898,1,-0.21314388362462267,1,-0.16177728036902755,1,-2.315778354967473,1,1.0631608,1,0.8341766866529152,1,0.11631212,1,0,False,False
SALEBESON,1334.7037037037037,1200-1400,27,1.741676516054212,1,-0.1677831475908813,1,-0.10857809008741764,1,-2.7530012413706677,1,0.1804921,1,1.0,1,0.017934151,1,0,False,False
pandmm2012,2229.675675675676,2200+,37,2.695922553786787,1,-0.12112769416951097,1,-0.11987772613119008,1,-2.8418645005423917,1,2.4500854,-1,1.0,1,0.027818713,1,1,False,False
Osincola,1887.1470588235295,1800-2000,68,1.7401071987251666,1,-0.0787294599779762,1,-0.16214939753296115,1,-4.165991212770092,1,0.20994715,1,0.742687066302561,1,0.28785557,1,0,False,False
Civilliant,2218.0,2200+,9,4.737130019190432,-1,0.11188630071998107,-1,0.031074312431581097,-1,0.9523055913402496,-1,6.409164,-1,1.0,1,0.56132233,-1,3,False,False
Jestforfun,1426.6190476190477,1400-1600,21,2.5383510860168874,1,-0.11794030417937051,1,-0.09378128016055065,1,-3.7106116477814792,1,0.6262293,1,1.0,1,0.34409106,1,0,False,False
amrking,1657.4432989690722,1600-1800,97,1.7332610372270976,1,-0.15589757608659705,1,-0.166584336391698,1,-5.109256101653986,1,0.63786215,1,0.914459617834023,1,0.05495525,1,0,False,False
nicola12345,1519.084745762712,1400-1600,118,1.143664492705292,1,-0.2715119906963832,1,-0.1745772763120524,1,-5.6168111553445685,1,0.33023068,1,0.5623869881845638,1,0.054295726,1,0,False,False
VK15,1801.9076923076923,1800-2000,65,1.8554444543406226,1,-0.1598169767293598,1,-0.12502699339948453,1,-4.062018441370607,1,0.44604078,1,1.0,1,0.13093868,1,0,False,False
Rudakov39,2221.3636363636365,2200+,11,1.460915962390071,1,-0.2770991505911844,1,-0.1411922961483033,1,-6.612014393566759,1,0.3215872,1,1.0,1,0.10994508,1,0,False,False
AusiasMarch,1917.3125,1800-2000,16,8.069338789844041,-1,-0.127736096160028,1,-0.03372541556214759,1,0.5064115158496296,-1,4.493516,-1,1.0,1,0.7458582,-1,2,True,False
Shadowmam,1982.2,1800-2000,30,1.1372848821501593,1,-0.2495218695423298,1,-0.1776723336262887,1,-5.7574803712059195,1,0.55278164,1,0.9147515838323644,1,0.07405109,1,0,False,False
