model,roc_auc_mean,roc_auc_std,roc_auc_ci95,average_precision_mean,average_precision_std,average_precision_ci95,precision_at_k_mean,precision_at_k_std,precision_at_k_ci95,recall_at_k_mean,recall_at_k_std,recall_at_k_ci95
IsolationForest,0.7132402825337848,0.06110653225977618,0.0535622371208402,0.05218540694187753,0.009358847842247412,0.008203391826806237,0.0,0.0,0.0,0.0,0.0,0.0
LOF,0.6999024809633854,0.0915528730208975,0.08024963146317227,0.05388120595734701,0.019556037935407493,0.01714162303610123,0.0,0.0,0.0,0.0,0.0,0.0
OneClassSVM,0.6996091910868294,0.015886577385775282,0.013925199050046536,0.04769777295045545,0.002367858659189765,0.0020755196258394498,0.0,0.0,0.0,0.0,0.0,0.0
Autoencoder,0.6933992551499734,0.08877007087191488,0.07781039783213367,0.04965883804524276,0.01242677533410841,0.010892548840168154,0.0,0.0,0.0,0.0,0.0,0.0
HDBSCAN,0.5275663600525624,0.06164025496976428,0.05403006570302237,0.03421468158391905,0.005395908325285996,0.004729722183753041,0.766,0.042778499272414915,0.03749700788062965,0.766,0.042778499272414915,0.03749700788062965
ZScoreBaseline,0.449440053382357,0.006541240825994602,0.005733650384495355,0.02697330511493984,0.0003158471680457297,0.000276852249394412,0.0,0.0,0.0,0.0,0.0,0.0
