player_id,avg_rating,rating_band,n_games,ZScoreBaseline_score,ZScoreBaseline_label,LOF_score,LOF_label,IsolationForest_score,IsolationForest_label,OneClassSVM_score,OneClassSVM_label,Autoencoder_score,Autoencoder_label,HDBSCAN_score,HDBSCAN_label,ACPLSubAutoencoder_score,ACPLSubAutoencoder_label,anomaly_votes,ensemble_flag,ensemble_confident
sergei47274,1891.6470588235295,1800-2000,51,2.2880029453808723,1,-0.213995428442457,1,-0.12199589578895198,1,-4.106749392335575,1,0.6090594,1,1.0,1,0.04522933,1,0,False,False
Vd4,1951.925,1800-2000,40,1.4808302827560422,1,-0.22582549794444473,1,-0.14532060155196902,1,-3.0462885024644786,1,0.036384206,1,0.9131235065818696,1,0.049965706,1,0,False,False
Raizaku713,1728.3333333333333,1600-1800,9,1.8178146978696679,1,-0.21251896107554136,1,-0.1489264547614761,1,-3.5909214998428807,1,0.26098928,1,0.9154544160427217,1,0.11781614,1,0,False,False
apearonatree,1127.780487804878,1000-1200,41,1.7116099667071232,1,-0.15261942219481717,1,-0.14151006645714836,1,-2.9676982925783895,1,0.4488887,1,0.9194999374069504,1,0.31617785,1,0,False,False
Baudrin,1317.7857142857142,1200-1400,14,5.441336750290913,-1,0.23376176793601955,-1,0.030830569887073,-1,1.469918545905919,-1,2.359514,-1,1.0,1,0.054596327,1,3,False,False
olivergalarga,1282.8181818181818,1200-1400,11,3.0402190202452197,1,0.05551731700564688,-1,-0.06675187549140432,1,-1.1784624639310994,1,1.0738102,1,1.0,1,0.34217915,1,1,False,False
Gouramooba,2115.8709677419356,2000-2200,31,2.5694484434762312,1,-0.22575792499597225,1,-0.13631078932572116,1,-4.299944607339488,1,0.10447412,1,1.0,1,0.29864296,1,0,False,False
denniscliford,1969.5333333333333,1800-2000,15,4.760500872889748,-1,-0.24730394933689093,1,0.05824401328202555,-1,-1.0478794292838831,1,0.38199934,1,1.0,1,0.022485804,1,0,False,False
zibi-kozlowski,1831.6666666666667,1800-2000,6,3.9134929561267957,1,0.11995644206043465,-1,0.00323299452776149,-1,0.032039107912472,-1,0.71773523,1,1.0,1,0.35046253,1,2,False,False
sahya,1789.7826086956522,1600-1800,46,3.1296658901330936,1,-0.1677689698760394,1,-0.1269059828993228,1,-2.7666885499985066,1,0.42853034,1,1.0,1,0.033540428,1,0,False,False
JakeHaze,1680.774193548387,1600-1800,31,2.8632206840941516,1,-0.23747488254437865,1,-0.0875423539497665,1,-4.072133800228685,1,0.48407516,1,1.0,1,0.12902576,1,0,False,False
Konstantin99,1473.9655172413793,1400-1600,29,2.0316601446262674,1,-0.2284148633042069,1,-0.1267369933613426,1,-6.2373428950193714,1,0.24424632,1,1.0,1,0.030132016,1,0,False,False
Kratos88,1322.8,1200-1400,10,2.2360977956815553,1,0.14200440716972795,-1,-0.09552140344245702,1,-2.479835453801652,1,2.114576,-1,1.0,1,0.1610188,1,2,False,False
kipelov,1850.0434782608695,1800-2000,23,2.468712434053034,1,-0.08659788801014323,1,-0.09089392335228696,1,-3.7458706130037536,1,1.2356335,1,1.0,1,0.024625242,1,0,False,False
fazle,1220.75,1200-1400,24,2.729816486959491,1,-0.05315773371061505,1,-0.11137021347977366,1,-1.6948846727097981,1,0.36497834,1,1.0,1,0.34146133,1,0,False,False
lilielman,1623.7368421052631,1600-1800,19,1.3616590089037246,1,-0.1552898101953124,1,-0.16627433187139284,1,-5.606270260519547,1,0.7129678,1,0.6691744402021262,1,0.17641431,1,0,False,False
