model,roc_auc_mean,roc_auc_std,roc_auc_ci95,average_precision_mean,average_precision_std,average_precision_ci95,precision_at_k_mean,precision_at_k_std,precision_at_k_ci95,recall_at_k_mean,recall_at_k_std,recall_at_k_ci95
LOF,0.9585104091280809,0.030459218808133137,0.026698682448238118,0.6257566685708109,0.05806311290193612,0.0508945624341179,0.604,0.05727128425310541,0.05020049402147353,0.604,0.05727128425310541,0.05020049402147353
Autoencoder,0.8924877580920445,0.0230999118910326,0.020247965518941004,0.13278586585714888,0.028716490147624806,0.025171113425754475,0.188,0.07563068160475615,0.06629321533912803,0.188,0.07563068160475615,0.06629321533912803
OneClassSVM,0.8768995293980566,0.0210947880894937,0.018490397014511845,0.14103474134528998,0.02698840560760614,0.023656380540833983,0.22800000000000004,0.06870225614927067,0.06022018266328988,0.22800000000000004,0.06870225614927067,0.06022018266328988
ZScoreBaseline,0.7802042997179841,0.03135582614134561,0.027484593427143773,0.042269520781751654,0.005393820226587469,0.004727891884544657,0.036,0.01673320053068151,0.014667296956153849,0.036,0.01673320053068151,0.014667296956153849
IsolationForest,0.7597972488882272,0.016172088381163272,0.014175460471698919,0.03934062666684813,0.003672459148434966,0.003219052373792697,0.036000000000000004,0.026076809620810593,0.022857331427793576,0.036000000000000004,0.026076809620810593,0.022857331427793576
HDBSCAN,0.5241721419185283,0.05405055249160141,0.04737739816031542,0.017208513996860353,0.002349693950683609,0.0020595975568190464,0.5640000000000001,0.016733200530681475,0.014667296956153817,0.5640000000000001,0.016733200530681475,0.014667296956153817
