model,fpr,tpr,threshold,roc_auc
ZScoreBaseline,0.0,0.0,inf,0.8052698176404913
ZScoreBaseline,0.0003721622627465575,0.0,0.9999999999535121,0.8052698176404913
ZScoreBaseline,0.007815407517677708,0.0,0.3222711539848183,0.8052698176404913
ZScoreBaseline,0.007815407517677708,0.02,0.3175911477584811,0.8052698176404913
ZScoreBaseline,0.01637513956084853,0.02,0.25684542618975653,0.8052698176404913
ZScoreBaseline,0.01637513956084853,0.04,0.25519527486640525,0.8052698176404913
ZScoreBaseline,0.02084108671380722,0.04,0.24250396310713052,0.8052698176404913
ZScoreBaseline,0.02084108671380722,0.06,0.24186383231080325,0.8052698176404913
ZScoreBaseline,0.03721622627465575,0.06,0.18775997407865164,0.8052698176404913
ZScoreBaseline,0.03721622627465575,0.08,0.18722358975671902,0.8052698176404913
ZScoreBaseline,0.04317082247860067,0.08,0.18094679195138486,0.8052698176404913
ZScoreBaseline,0.0446594715295869,0.08,0.18028995398638492,0.8052698176404913
ZScoreBaseline,0.04652028284331969,0.08,0.17897742110757786,0.8052698176404913
ZScoreBaseline,0.04652028284331969,0.1,0.17829870365034128,0.8052698176404913
ZScoreBaseline,0.046892445106066244,0.1,0.176909318544887,0.8052698176404913
ZScoreBaseline,0.046892445106066244,0.12,0.17637974085245012,0.8052698176404913
ZScoreBaseline,0.05098622999627838,0.12,0.17185983288090698,0.8052698176404913
ZScoreBaseline,0.05098622999627838,0.14,0.17105168417879069,0.8052698176404913
ZScoreBaseline,0.051358392259024936,0.14,0.17086261782761147,0.8052698176404913
ZScoreBaseline,0.051358392259024936,0.16,0.17062795996867777,0.8052698176404913
ZScoreBaseline,0.05656866393747674,0.16,0.16412356277697424,0.8052698176404913
ZScoreBaseline,0.05656866393747674,0.18,0.16357947765569597,0.8052698176404913
ZScoreBaseline,0.05991812430219576,0.18,0.16081887390652652,0.8052698176404913
ZScoreBaseline,0.05991812430219576,0.2,0.16069230961360603,0.8052698176404913
ZScoreBaseline,0.06773353181987346,0.2,0.15451746883711662,0.8052698176404913
ZScoreBaseline,0.06773353181987346,0.22,0.1540931902983822,0.8052698176404913
ZScoreBaseline,0.07033866765909937,0.22,0.1528114011053615,0.8052698176404913
ZScoreBaseline,0.07033866765909937,0.24,0.15276643870172008,0.8052698176404913
ZScoreBaseline,0.07406029028656494,0.24,0.15037976628814018,0.8052698176404913
ZScoreBaseline,0.07406029028656494,0.26,0.15036895931662916,0.8052698176404913
ZScoreBaseline,0.0770375883885374,0.26,0.14828541362749836,0.8052698176404913
ZScoreBaseline,0.0770375883885374,0.28,0.1482637398056558,0.8052698176404913
ZScoreBaseline,0.07778191291403051,0.28,0.14791440237393144,0.8052698176404913
ZScoreBaseline,0.07778191291403051,0.3,0.14789080536011462,0.8052698176404913
ZScoreBaseline,0.08001488649050986,0.3,0.14597626679655715,0.8052698176404913
ZScoreBaseline,0.08075921101600297,0.3,0.14594984145198567,0.8052698176404913
ZScoreBaseline,0.08522515816896167,0.3,0.1429615485139376,0.8052698176404913
ZScoreBaseline,0.08522515816896167,0.32,0.14280670576820667,0.8052698176404913
ZScoreBaseline,0.08559732043170823,0.32,0.14279655069323544,0.8052698176404913
ZScoreBaseline,0.08596948269445479,0.34,0.14276738174777576,0.8052698176404913
ZScoreBaseline,0.08783029400818756,0.34,0.14130318791911028,0.8052698176404913
ZScoreBaseline,0.08783029400818756,0.36,0.14115226633295602,0.8052698176404913
ZScoreBaseline,0.09117975437290658,0.36,0.1388139479058879,0.8052698176404913
