player_id,avg_rating,rating_band,n_games,ZScoreBaseline_score,ZScoreBaseline_label,LOF_score,LOF_label,IsolationForest_score,IsolationForest_label,OneClassSVM_score,OneClassSVM_label,Autoencoder_score,Autoencoder_label,HDBSCAN_score,HDBSCAN_label,ACPLSubAutoencoder_score,ACPLSubAutoencoder_label,anomaly_votes,ensemble_flag,ensemble_confident,likely_explanation
orodrig,1733.16,1600-1800,25,10.566092682692886,-1,0.10716017165742198,-1,-0.0400890130990712,1,2.8039472917835635,-1,0.29675317,1,1.0,1,0.40228674,1,2,True,False,unexplained_deviation
phillipwhittaker,1467.12,1400-1600,25,1.632321292038449,1,0.01979642384182334,-1,-0.1463969887858073,1,-5.2447912286103735,1,1.6895189,-1,1.0,1,0.069595166,1,2,True,False,unexplained_deviation
mensob,2218.133333333333,2200+,15,4.695499499971602,-1,0.007712284706832717,-1,-0.03824274845378317,1,-0.8103523743338874,1,2.268131,-1,1.0,1,0.42611536,1,2,True,False,unexplained_deviation
cava1111,1799.9333333333334,1600-1800,45,2.9630157825727816,1,0.22646699223575428,-1,-0.07741027033172154,1,0.00020463125397007786,-1,1.3414065,1,1.0,1,0.6845082,-1,2,True,False,unexplained_deviation
emi_arg,1742.0333333333333,1600-1800,30,6.5391597224162235,-1,0.24957135864122737,-1,-0.03760903307918251,1,2.2115477384340307,-1,7.5946617,-1,1.0,1,1.2929856,-1,3,True,True,unexplained_deviation
BICHARA,2017.1020408163265,2000-2200,98,4.851898542050488,-1,0.11149720044371536,-1,-0.09044394666121691,1,-0.5419909211724674,1,2.8824198,-1,1.0,1,0.21382362,1,2,True,False,unexplained_deviation
FenderOn,1482.5744680851064,1400-1600,47,2.3281605647237855,1,0.05502476447805171,-1,-0.1172237536951809,1,-3.2056890297542084,1,2.0823324,-1,1.0,1,0.5211184,-1,2,True,False,unexplained_deviation
Tolstoewski,1624.463601532567,1600-1800,261,2.695922553786787,1,0.06930993944845021,-1,-0.07673215832971747,1,-0.5559021172213345,1,2.4126818,-1,1.0,1,0.025880901,1,2,True,False,unexplained_deviation
h-as-n,1022.8214285714286,1000-1200,28,4.8298417714310835,-1,0.32122028676991454,-1,-0.04489983677244791,1,0.724225622801284,-1,7.8362293,-1,1.0,1,0.5867401,-1,3,True,True,unexplained_deviation
jorgemario,1503.0,1400-1600,45,4.157319335180573,1,0.07642900659436025,-1,-0.09416375892285578,1,-1.7300944142815933,1,1.7428722,-1,1.0,1,0.16494589,1,2,True,False,unexplained_deviation
