feature,importance_mean,importance_std
timeout_loss_rate,-0.007297172730612605,0.00030574844949954766
comeback_rate,-0.012923769045188566,0.00034575777560271837
best_move_rate_band_z,-0.013648444146785899,0.00024863153636900566
underdog_win_rate,-0.015211718604217371,0.00027885588349151156
rating_gain_rate,-0.018425696654310042,0.00041776286741013966
avg_acpl_opening_band_z,-0.020089376847050547,0.00032324133613063715
avg_weighted_acpl_band_z,-0.021187695144897756,0.0004461543411122523
avg_acpl_endgame_band_z,-0.02333011690530374,0.00033644219949349594
rating_volatility,-0.03041286703241203,0.00042037876875152333
rating_gain,-0.031356035984617024,0.00041041175469949903
acpl_consistency_band_z,-0.03300606163378412,0.00048271522645834046
blunder_rate,-0.03360923590665942,0.00051985805031753
win_rate,-0.03381910560984449,0.0005115252906321714
performance_vs_actual,-0.06185236704431664,0.0006351043637988301
avg_acpl_band_z,-0.06198882235601891,0.0006207914374525397
win_rate_vs_expected,-0.06283070706858113,0.0006976482815314251
acpl_phase_gap_band_z,-0.06627477663248266,0.00072283789735875
avg_acpl_middlegame_band_z,-0.07188953282193464,0.0007118093535697005
opening_ply_ratio,-0.07604319539531121,0.0009457351583428508
avg_turns,-0.07984229669446437,0.0008877414865612463
victory_efficiency,-0.0851104230075903,0.0010858337516230084
